symbol,timestamp,open,high,low,close,volume,interval
EURJPY,2025-02-26T01:30:00,156.83,156.94,156.8,156.85001,0.0,15m
EURJPY,2025-02-26T01:45:00,156.85001,156.87,156.62,156.67999,0.0,15m
EURJPY,2025-02-26T02:00:00,156.67999,156.67999,156.46001,156.52,0.0,15m
EURJPY,2025-02-26T02:15:00,156.50999,156.58,156.32001,156.35001,0.0,15m
EURJPY,2025-02-26T02:30:00,156.34,156.53,156.24001,156.41,0.0,15m
EURJPY,2025-02-26T02:45:00,156.41,156.52,156.25999,156.5,0.0,15m
EURJPY,2025-02-26T03:00:00,156.49001,156.55,156.39999,156.48,0.0,15m
EURJPY,2025-02-26T03:15:00,156.47,156.53999,156.35001,156.36,0.0,15m
EURJPY,2025-02-26T03:30:00,156.36,156.41,156.17,156.38,0.0,15m
EURJPY,2025-02-26T03:45:00,156.37,156.53999,156.34,156.50999,0.0,15m
EURJPY,2025-02-26T04:00:00,156.50999,156.53,156.42,156.44,0.0,15m
EURJPY,2025-02-26T04:15:00,156.44,156.49001,156.28,156.49001,0.0,15m
EURJPY,2025-02-26T04:30:00,156.49001,156.52,156.44,156.45,0.0,15m
EURJPY,2025-02-26T04:45:00,156.45,156.57001,156.45,156.56,0.0,15m
EURJPY,2025-02-26T05:00:00,156.56,156.78999,156.56,156.72,0.0,15m
EURJPY,2025-02-26T05:15:00,156.72,156.78,156.64,156.64999,0.0,15m
EURJPY,2025-02-26T05:30:00,156.64,156.92999,156.57001,156.89999,0.0,15m
EURJPY,2025-02-26T05:45:00,156.89,156.91,156.75,156.75,0.0,15m
EURJPY,2025-02-26T06:00:00,156.75,156.78,156.58,156.61,0.0,15m
EURJPY,2025-02-26T06:15:00,156.62,156.64,156.56,156.60001,0.0,15m
EURJPY,2025-02-26T06:30:00,156.61,156.75,156.60001,156.74001,0.0,15m
EURJPY,2025-02-26T06:45:00,156.74001,156.75,156.67,156.69,0.0,15m
EURJPY,2025-02-26T07:00:00,156.7,156.72,156.63,156.66,0.0,15m
EURJPY,2025-02-26T07:15:00,156.66,156.78999,156.64999,156.74001,0.0,15m
EURJPY,2025-02-26T07:30:00,156.74001,156.75,156.62,156.64999,0.0,15m
EURJPY,2025-02-26T07:45:00,156.64,156.7,156.60001,156.64,0.0,15m
EURJPY,2025-02-26T08:00:00,156.63,156.73,156.62,156.7,0.0,15m
EURJPY,2025-02-26T08:15:00,156.69,156.73,156.66,156.71001,0.0,15m
EURJPY,2025-02-26T08:30:00,156.71001,156.71001,156.64,156.66,0.0,15m
EURJPY,2025-02-26T08:45:00,156.67,156.72,156.66,156.69,0.0,15m
EURJPY,2025-02-26T09:00:00,156.7,156.75999,156.67999,156.73,0.0,15m
EURJPY,2025-02-26T09:15:00,156.73,156.78,156.71001,156.75999,0.0,15m
EURJPY,2025-02-26T09:30:00,156.74001,156.75,156.72,156.73,0.0,15m
EURJPY,2025-02-26T09:45:00,156.73,156.8,156.72,156.8,0.0,15m
EURJPY,2025-02-26T10:00:00,156.8,156.89,156.75,156.77,0.0,15m
EURJPY,2025-02-26T10:15:00,156.75999,156.78,156.69,156.7,0.0,15m
EURJPY,2025-02-26T10:30:00,156.69,156.74001,156.63,156.67,0.0,15m
EURJPY,2025-02-26T10:45:00,156.67999,156.86,156.63,156.82001,0.0,15m
EURJPY,2025-02-26T11:00:00,156.81,156.84,156.45,156.48,0.0,15m
EURJPY,2025-02-26T11:15:00,156.47,156.63,156.42,156.60001,0.0,15m
EURJPY,2025-02-26T11:30:00,156.60001,156.64,156.47,156.49001,0.0,15m
EURJPY,2025-02-26T11:45:00,EURGBP,2025-02-26T05:45:00,0.82969999,EURJPY,2025-02-26T12:00:00,156.69,156.81,156.50999,156.50999,0.0,15m
EURJPY,2025-02-26T12:15:00,156.50999,156.87,156.48,156.78999,0.0,15m
EURJPY,2025-02-26T12:30:00,156.78999,156.87,156.73,156.83,0.0,15m
EURJPY,2025-02-26T12:45:00,156.82001,156.92,156.78999,156.92,0.0,15m
EURJPY,2025-02-26T13:00:00,156.92999,157.0099945,156.87,156.97,0.0,15m
EURJPY,2025-02-26T13:15:00,156.96001,156.97,156.82001,156.87,0.0,15m
EURJPY,2025-02-26T13:30:00,156.88,156.95,156.82001,156.92,0.0,15m
EURJPY,2025-02-26T13:45:00,156.92,157.059998,156.88,157.039993,0.0,15m
EURJPY,2025-02-26T14:00:00,157.039993,157.10001,157.0,157.0099945,0.0,15m
EURJPY,2025-02-26T14:15:00,157.0099945,157.0099945,156.89999,156.95,0.0,15m
EURJPY,2025-02-26T14:30:00,156.96001,156.99001,156.88,156.91,0.0,15m
EURJPY,2025-02-26T14:45:00,156.91,156.95,156.85001,156.92999,0.0,15m
EURJPY,2025-02-26T15:00:00,156.94,157.0,156.91,157.0,0.0,15m
EURJPY,2025-02-26T15:15:00,157.0,157.039993,156.85001,156.89,0.0,15m
